city,lat,lng,population
Chūru,28.5,74.5,2039547
Pāli,25.75,73.5,2037573
Mahesāna,23.66667,72.5,2035064
Banka,24.89214,86.98425,2034763
Gwalior,26.2,78.2,2032036
Pīlībhīt,28.55,80.1,2031007
Firozpur,30.89,74.56,2029074
Vadodara Rural,22.27766,73.18017,2004505
Madhepura,25.8,87,2001762
Jhānsi,25.5,78.5,1998603
Ujjain,23.41667,75.5,1986864
Kottayam,9.66667,76.66667,1974551
Gangānagar,29.49,73.61,1969168
Morena,26.16667,77.5,1965970
Jalna,19.8,75.9,1959046
Kota,25.17512,75.84412,1951014
Dhubri,26.06749,90.02238,1949258
Davanagere,14.43,75.9,1945497
Virudhunagar,9.45,77.92,1942288
Palāmu,23.91667,84.08333,1939869
Ludhiana East,30.84916,75.99842,1934225
Raichur,16.16,76.91,1928812
Sonitpur,26.76748,92.96425,1924110
Saharsa,25.81659,86.5898,1900661
Patiala,30.35,76.4,1895686
Haridwar,29.96967,78.07459,1890422
Bagalkot,16.18,75.69,1889752
Farrukhābād,27.5,79.5,1885204
Krishnagiri,12.58,77.96,1879809
Khargone,21.82306,75.61028,1873046
Kanniyakumari,8.32,77.34,1870374
Mainpuri,27.16667,79,1868529
Dharwad,15.37,75.14,1847023
Darjiling,26.75,88.25,1846823
Thāne,19.19704,72.96355,1841488
Amroha,28.7716,78.33871,1840221
Sri Sathya Sai,14.16823,77.96407,1840043
Parbhani,19.5,76.75,1836086
Jalore,25.08,72.29,1828730
Jajpur,20.84149,86.31237,1827192
Akola,20.5,77.16667,1813906
Koil,27.88303,78.09898,1810181
Mandya,12.58333,76.66667,1805769
Kendujhar,21.5,85.5,1801733
Bānda,25.5,80.5,1799410
Bhopal,23.25469,77.40289,1798218
Bānswāra,23.5,74.33333,1797485
Kanpur Dehat,26.41506,79.98957,1796184
Nandyal,15.52459,78.41334,1781777
Hassan,12.95,76.08333,1776421
Hanumangarh,29.11,74.6,1774692
Etah,27.5,78.75,1774480
Patna Rural,25.58486,85.16871,1771140
